maincomm_code,Comm_code,Variety_code,Commodity,Variety,Start_date,MSP,CostA1FL,TotalC3
1,28,,Bajra,All,1/4/2018,1950,0,0
3,10,,Groundnut,All,1/4/2018,4890,0,0
1,5,7,Jowar,Hybrid,1/4/2018,2430,0,0
1,5,2,Jowar,White,1/4/2018,2450,0,0
4,15,,Cotton,All,1/4/2018,5450,0,0
1,4,,Maize,All,1/4/2018,1700,0,0
2,9,,Greengram,All,1/4/2018,6975,0,0
3,98,,Niger seed,All,1/4/2018,5877,0,0
1,2,,Paddy,All,1/4/2018,1750,0,0
1,30,,Ragi,All,1/4/2018,2897,0,0
3,11,,Sesamum,All,1/4/2018,6249,0,0
3,13,,Soyabeen,All,1/4/2018,3399,0,0
3,14,,Sunflower,All,1/4/2018,5388,0,0
2,49,,Tur,All,1/4/2018,5675,0,0
2,275,,Tur,All,1/4/2018,5675,0,0
2,8,,Blackgram,All,1/4/2018,5600,0,0
